Cry_Audio_File,Cry_Reason,STFT_Mean,RMS_Mean,SC_Mean,SBAN_Mean,ZCR_Mean,MFCCs13,delMFCCs13,del2MFCCs13,MelSpec,MFCCs20,MFCCs1,MFCCs2,MFCCs3,MFCCs4,MFCCs5,MFCCs6,MFCCs7,MFCCs8,MFCCs9,MFCCs10,MFCCs11,MFCCs12,MFCCS13
donateacry_corpus_cleaned_and_updated_data/belly_pain/999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,0,0.10238884,0.011049677,1264.335599,519.1011206,0.098990012,-48.27123,0.08218775,-0.0030101,-52.58201,-31.961296,606.60547,93.9349,47.782738,15.073559,10.004257,30.088297,18.766724,8.679635,2.3520777,7.7462444,3.0962021,4.7152734,3.9180954
donateacry_corpus_cleaned_and_updated_data/belly_pain/C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,0,0.050369333,0.006950727,1268.608766,575.4575492,0.115383123,-49.861237,0.10137523,0.01890978,-55.12258,-32.50051,628.12067,101.60248,34.45939,10.316871,0.6070605,25.927773,4.430356,4.6190925,22.430754,4.3032727,0.17262046,11.258208,3.4977849
donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,0,0.10004214,0.010904365,1546.5782,699.6266489,0.116662681,-49.541706,0.02360533,0.020593692,-50.736797,-31.240011,585.09564,86.38556,67.562416,22.161522,2.0707543,26.675592,3.2948687,7.7887993,21.903955,5.7445436,4.150358,11.7187195,6.870083
donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,0,0.14076592,0.01051994,1089.415328,668.8959515,0.085080583,-44.275997,-0.016075362,0.030941423,-47.15573,-29.790195,538.0991,96.096985,20.241573,1.7045985,0.22628057,29.814095,14.937744,11.162116,21.503994,7.5013094,7.856627,15.119538,3.9704835
donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,0,0.057628784,0.006576641,1017.610932,700.6824103,0.067107952,-51.325264,0.02111214,0.012414595,-54.007328,-32.03135,611.4486,68.68205,8.392762,7.8121095,9.09841,34.050182,9.673841,11.780775,24.962975,7.6970654,9.014325,15.366213,2.2374368
donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,0,0.001930302,0.001263589,1257.268556,609.5305017,0.099787226,-58.81048,0.02720424,0.019661294,-64.7685,-39.316048,742.0144,77.35845,24.530485,9.814217,3.6504748,14.802872,9.125774,7.5267324,11.8113985,3.2967782,7.9349246,12.195015,2.4926345
donateacry_corpus_cleaned_and_updated_data/belly_pain/643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,0,0.052025504,0.004565232,1020.305522,517.4294951,0.078839637,-51.384373,0.018210273,0.016440207,-55.838116,-33.93086,640.6875,54.92036,16.62698,2.2241478,0.66849214,17.647436,6.8076763,2.6970747,10.3327875,4.9980917,6.928677,10.997031,3.6383343
donateacry_corpus_cleaned_and_updated_data/belly_pain/ae5f103b-5fee-442f-bb1b-d9d0570c46ab-1431533857965-1.7-m-26-bp.wav,0,0.4716012,0.012870769,950.4350387,426.8362731,0.076891276,-41.619473,0.07042257,0.005401766,-49.539783,-27.747023,569.5228,60.464504,2.4425676,6.0190945,3.2930627,12.152565,2.9909332,2.4429195,4.5108824,3.9125195,6.5329747,10.49116,5.601485
donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431159272600-1.7-m-04-bp.wav,0,0.12144297,0.012751014,1713.383387,618.9988658,0.151406912,-48.444992,-0.04123995,0.00377662,-49.296646,-30.814884,560.6789,90.63908,86.53802,26.359617,4.2128882,32.291954,5.7466836,17.703714,18.981352,7.1394467,3.9792128,12.288966,7.788201
donateacry_corpus_cleaned_and_updated_data/belly_pain/d6cda191-4962-4308-9a36-46d5648a95ed-1431700390946-1.7-m-04-bp.wav,0,2.031869,0.05707175,2028.962371,661.3243153,0.183001192,-37.93612,0.023648579,-0.008338299,-37.30288,-24.968128,426.6486,89.48391,112.769516,3.7745447,30.078794,42.075684,0.85440063,15.597173,31.172428,9.682974,11.356677,7.868112,4.8398585
